iter	Logloss
0	0.5991915133
1	0.5288036452
2	0.4439838962
3	0.376415422
4	0.32665875
5	0.291589669
6	0.2644342245
7	0.2451427621
8	0.2297046613
9	0.2183278112
10	0.2119241006
11	0.1944629716
12	0.1829547274
13	0.1730745728
14	0.1651867075
15	0.1614969592
16	0.1560745713
17	0.1512211029
18	0.1480939924
19	0.1441794099
20	0.1416260851
21	0.1392149963
22	0.1372460331
23	0.1350457758
24	0.13294929
25	0.1319970682
26	0.1304201133
27	0.128917974
28	0.1280126568
29	0.1267981335
30	0.1260554859
31	0.1245627148
32	0.1227864981
33	0.121498409
34	0.1202905093
35	0.1197555186
36	0.1194984135
37	0.1183977593
38	0.1172362305
39	0.1165818804
40	0.115846772
41	0.115427754
42	0.1146749163
43	0.1139805115
44	0.1132029376
45	0.1124628117
46	0.1117013289
47	0.1112318773
48	0.1108908696
49	0.1099735451
50	0.1095375528
51	0.1090319018
52	0.1084194783
53	0.1077116512
54	0.1075181868
55	0.1072889451
56	0.1067452811
57	0.1061264148
58	0.1056162861
59	0.1054742117
60	0.1051802938
61	0.1050923303
62	0.1046161694
63	0.1044969759
64	0.1040850475
65	0.1036991519
66	0.1030733492
67	0.1028713724
68	0.1026923334
69	0.1021234812
70	0.101730718
71	0.1012789808
72	0.101055738
73	0.1005544203
74	0.1002786668
75	0.1001598119
76	0.099669915
77	0.09955131022
78	0.09907570855
79	0.09864649557
80	0.09832501399
81	0.09767951287
82	0.0972624995
83	0.09705387865
84	0.09660238971
85	0.09653417783
86	0.09629026826
87	0.09612256217
88	0.09563723944
89	0.0955144347
90	0.09460111583
91	0.09432162705
92	0.09430312497
93	0.0936967386
94	0.09355145594
95	0.092793467
96	0.09240848333
97	0.09191915553
98	0.0917420938
99	0.09159332464
100	0.0911960943
101	0.09039905471
102	0.08943708855
103	0.08911269278
104	0.08887380205
105	0.08873224732
106	0.0880528975
107	0.08777748794
108	0.08728556007
109	0.08697836993
110	0.08681747672
111	0.0864986989
112	0.08610964978
113	0.08599004701
114	0.08567905512
115	0.08557399283
116	0.08538008432
117	0.08495301218
118	0.08483075865
119	0.08465065643
120	0.08430349776
121	0.08419278712
122	0.08392974804
123	0.08350157977
124	0.08296977794
125	0.08287458112
126	0.0827184107
127	0.08224735182
128	0.08195056908
129	0.08155515295
130	0.08130505611
131	0.08095277607
132	0.08086943815
133	0.08062550206
134	0.08036372413
135	0.08013697029
136	0.08002055445
137	0.07996532218
138	0.07983537838
139	0.07969693748
140	0.07942224722
141	0.07880760266
142	0.07823214304
143	0.0779743843
144	0.07735685405
145	0.07719690748
146	0.07694258863
147	0.07628151593
148	0.07599985941
149	0.07586083809
150	0.07523678555
151	0.07509928803
152	0.07488859674
153	0.07435104967
154	0.07421438962
155	0.07361617491
156	0.07341309545
157	0.07293858177
158	0.07271967296
159	0.07239879755
160	0.07225295116
161	0.07197285061
162	0.07171778529
163	0.07127786164
164	0.07115751847
165	0.07072982405
166	0.07025458796
167	0.07005947722
168	0.06979265242
169	0.06942760752
170	0.06908355153
171	0.06836754834
172	0.06821717626
173	0.06797075433
174	0.06761380573
175	0.06732363831
176	0.06696871883
177	0.06656790294
178	0.06638727705
179	0.0661190683
180	0.06595489546
181	0.06584519938
182	0.06556484441
183	0.06533198032
184	0.06522684739
185	0.06493892218
186	0.06428052176
187	0.06406600265
188	0.06380600471
189	0.06374459486
190	0.06345989146
191	0.06308451751
192	0.06270765597
193	0.06232501238
194	0.06200644341
195	0.06174864905
196	0.06154180047
197	0.06141929706
198	0.06135286448
199	0.06114902579
200	0.06102650457
201	0.06082978387
202	0.06038154728
203	0.06026434764
204	0.06006848701
205	0.05975580487
206	0.0595549933
207	0.05935720994
208	0.05910164421
209	0.05885529278
210	0.05872179741
211	0.05868363292
212	0.05860482171
213	0.0584717457
214	0.05832971423
215	0.05829304999
216	0.05792997685
217	0.05774509216
218	0.05763152384
219	0.05755810971
220	0.05728544861
221	0.05701372983
222	0.05691191865
223	0.05678189508
224	0.05648358471
225	0.05643507051
226	0.05629329237
227	0.0562090146
228	0.05602072103
229	0.05591676252
230	0.05571194964
231	0.05567378943
232	0.05551770474
233	0.05534614228
234	0.05521375729
235	0.05500555654
236	0.05491763931
237	0.05475970793
238	0.05466219923
239	0.05449820192
240	0.05426355469
241	0.0542443374
242	0.05405811849
243	0.05392287376
244	0.05359942772
245	0.05336086625
246	0.05332204268
247	0.05315117244
248	0.0529682025
249	0.05287499536
250	0.05285484191
251	0.05281754456
252	0.05259999878
253	0.05243265188
254	0.05229824934
255	0.05214839475
256	0.05194440323
257	0.05176880918
258	0.05168776834
259	0.05160724634
260	0.05149765213
261	0.05130382149
262	0.0511518465
263	0.05100393235
264	0.05091015713
265	0.05087195057
266	0.05077355702
267	0.05057874278
268	0.05039094252
269	0.05022699208
270	0.05008595423
271	0.04989110369
272	0.04968749667
273	0.04952424488
274	0.04941745443
275	0.04931758748
276	0.04923237828
277	0.0489955089
278	0.04872908231
279	0.04847837437
280	0.04838939298
281	0.0482486561
282	0.04808889279
283	0.04798134002
284	0.04782936278
285	0.04771110288
286	0.04763590783
287	0.04758707101
288	0.04734095348
289	0.04720250324
290	0.04706462643
291	0.04680613537
292	0.0467055543
293	0.04655355449
294	0.04642927445
295	0.04622128167
296	0.04608104659
297	0.04596609533
298	0.045894587
299	0.04581829038
